Selected,genes,log2 (ratio),-log10 (P_value)
No,FCGBP,0.670384,2.26362
No,FDFT1,1.32998,3.17209
No,FHOD1,0.972473,3.05946
No,FLJ14107,0.674468,1.55438
No,FLJ41327,0.998117,3.16282
No,FLJ44006,-0.930278,1.56943
No,FLJ45825,1.02076,3.31413
No,FLJ46111,0.831401,3.57549
No,FMO5,1.45943,2.69378
No,FMOD,1.09166,2.20375
No,FNBP4,-1.5138,1.95103
No,FOS,1.81483,2.05418
No,FTH1,0.905067,2.76548
No,FUS,0.832162,2.43903
No,FXC1,0.767353,1.59445
No,GALNT12,2.19625,7.65154
No,GALNT2,0.685794,2.17341
No,GALT,0.760949,1.9657
No,GANAB,0.773435,2.54019
No,GDE1,-0.850966,2.89155
No,GFPT1,1.23465,2.26791
No,GFRA2,1.1433,4.82912
No,GJD2,0.706063,2.40663
No,GK,0.834491,1.95423
No,GLT8D1,-1.16405,1.43582
No,GM2A,-0.755449,2.05914
No,GNG11,0.8428,2.1647
No,GNL2,0.697086,1.95523
No,GOLGA4,-0.706069,1.75039
No,H3F3B,1.15755,2.84579
No,HACL1,-0.784711,1.53335
No,HARS,0.740038,3.50607
No,HARS2,0.990385,2.79423
No,HCST,0.90741,2.29763
No,HEATR1,0.778299,1.71045
No,HEXA,-1.00609,1.81543
No,HGFAC,0.694906,2.29391
No,HIBADH,-1.19739,1.90355
No,HIST1H2AE,1.21902,2.0755
No,HIST1H2AK,0.802973,1.64816
No,HIST1H2BD,1.75691,3.51434
No,HIST1H2BG,1.67101,1.4047
No,HIST2H2AB,0.88041,3.14714
No,HIST2H2AC,1.31651,3.94234
No,HIST2H2BC,0.900504,2.2339
No,HIST2H2BE,1.72308,4.35129
No,HIST2H2BF,0.871793,1.5353
No,HIST2H3D,0.701598,1.88931
No,HM13,0.862262,3.59824
No,HMG20A,0.694851,1.60724
No,HMOX1,0.852332,2.5957
No,HSP90AB3P,0.68297,1.59077
No,HSPA1B,1.01807,1.92374
No,HSPB1,0.838116,1.68516
No,IAH1,-0.905376,1.62852
No,ICT1,1.00787,3.76615
No,IER2,1.32693,2.91676
No,IFI30,0.957343,2.42289
No,IL34,0.704183,2.95828
No,INSL5,0.671321,3.58318
No,IP6K2,-1.26823,1.9579
No,ITGA2,0.689178,1.64821
No,ITGAX,0.990257,4.32905
No,JMJD6,0.702125,1.38321
No,JUN,1.66654,3.21321
