name,logFC,DE_class
MEGF6,8.704680420899003e-4,NS
RIPK1,-8.741157254028575e-4,NS
HIST1H2BK,8.878075138238906e-4,NS
CHTF8,8.95706748789582e-4,NS
TFDP3,9.026915033579774e-4,NS
MACROD1,9.042153479357218e-4,NS
NRBF2,-9.096014258445084e-4,NS
CGN,9.148499919691133e-4,NS
ZNF785,9.159017335340636e-4,NS
ZNF100,9.229660676344231e-4,NS
CLEC6A,-9.281672612901914e-4,NS
C8orf58,9.444814598986717e-4,NS
NSDHL,-9.485643221955886e-4,NS
GLYR1,-9.629257598287033e-4,NS
ARHGEF25,9.71192123474296e-4,NS
ITFG1,9.872786724696159e-4,NS
FAM71E2,9.892284535222284e-4,NS
SOST,9.924299498089706e-4,NS
SNX19,9.933511494262248e-4,NS
GNPNAT1,-9.935962842244628e-4,NS
FBXO11,9.979733738543217e-4,NS
ASB13,-0.0010050184158185704,NS
LOC391764,0.0010058735968172527,NS
MAP6D1,-0.0010105362424750464,NS
REXO1,0.0010145978767663877,NS
FAM13A,-0.0010163228505279953,NS
ESRRA,0.0010224293635630044,NS
C15orf17,-0.0010310670848858727,NS
PPP1R16A,-0.0010323529781013363,NS
CCDC159,0.0010367225591356721,NS
FAM19A5,0.0010394398124415893,NS
METTL9,-0.001043016713756284,NS
FBXO3,-0.0010458183332768822,NS
C1orf130,-0.0010566332994068617,NS
HNRNPA3,-0.0010575335386575624,NS
SETD6,0.0010578484903693841,NS
FAM90A10,0.001058772610858627,NS
BIK,-0.0010600311077006985,NS
SYCE1,-0.0010842242546169611,NS
CLDN18,-0.0010936325432855387,NS
MRPL13,0.0011005060255341315,NS
KCNH4,0.0011044674735021243,NS
RRN3P1,-0.0011070103528094677,NS
MGEA5,0.001108220384995473,NS
DHX40,-0.0011182288789608474,NS
UNC45A,-0.0011199469486702363,NS
NCOA5,0.00112299083898737,NS
MDFIC,-0.0011298860802395616,NS
COL4A5,-0.001133059699978567,NS
NFU1,-0.0011387845434551735,NS
LRRC31,0.0011517623731113202,NS
NUP98,-0.0011552987575034201,NS
DMP1,-0.001162851419840516,NS
STX11,-0.001168380805455227,NS
KCNG4,0.0011716588227728142,NS
CES2,-0.0011864073287302102,NS
NCRNA00219,0.0011885444191512828,NS
RECQL4,0.0011938881661732736,NS
RNF215,-0.0011990621990440875,NS
CHML,-0.0012001090009501336,NS
LOC388906,0.0012123755253725665,NS
ZBTB47,0.0012245569994711047,NS
USE1,0.0012287416071352641,NS
ADCY6,0.0012353337904813522,NS
C1orf127,0.0012420921630744708,NS
IL15RA,-0.0012606377789516898,NS
FAM134A,-0.0012651317050869082,NS
RELL2,-0.0012727756194550466,NS
IFT80,-0.0012759997491744723,NS
UNCX,0.0012791509361238518,NS
RAB32,-0.001295998349032157,NS
FBXW12,0.0012988586541691216,NS
CCDC109A,0.0013016869107318474,NS
SLC25A34,0.0013051455695269887,NS
SCARF1,-0.0013101102216057647,NS
RTDR1,-0.0013156326060659307,NS
GALNT5,0.0013175364788230448,NS
ELF5,0.0013178349083382557,NS
FLJ16734,0.0013196171918412603,NS
REM1,0.001324821289138134,NS
ZNF839,0.001338213503286223,NS
OSGIN1,-0.0013397174233686915,NS
CCDC48,0.0013401916957072046,NS
BZRAP1,0.0013407463424042199,NS
CCDC101,0.0013523932480303813,NS
POU2F2,-0.001352461924243542,NS
CABIN1,-0.0013581300195175672,NS
C12orf34,0.0013623229834580641,NS
GOT2,-0.0013709506112911107,NS
RASGRP1,-0.0013800380051895988,NS
FLJ45949,-0.0013801126275772013,NS
PNMA3,0.0013837327532677524,NS
NLRP6,0.0013850385028968404,NS
CALR3,0.0013908041634588253,NS
KRBA2,0.0013908903768966585,NS
SIGMAR1,0.0013936163037242544,NS
CTHRC1,0.0013936899843349781,NS
HCN2,-0.0013949489348386024,NS
NECAB3,0.0014018696036552925,NS
BASE,-0.0014031844504741597,NS
EXOSC3,-0.0014133555135564801,NS
GJC2,0.0014214329831567785,NS
MYT1L,-0.0014225518506831847,NS
INCA1,0.0014226917933748418,NS
FMNL1,0.0014280884715873743,NS
RNF5,0.0014398995860007702,NS
GPHN,0.0014489881182060405,NS
LOC121952,0.0014532947384258144,NS
MSL1,0.0014537594350541028,NS
ACSS1,-0.0014554571581690823,NS
KCNB1,0.0014585503173398795,NS
DMWD,0.0014593332408256998,NS
SRPK3,-0.0014623138143274872,NS
FBXW7,0.001467924232734008,NS
HIVEP3,0.0014698781381410342,NS
MED15,-0.0014715032758849667,NS
HS3ST2,-0.0014759964386610314,NS
TBX2,0.0014781093915376964,NS
MARCH8,-0.0014905572710084414,NS
