"gene","log2FC","pvalue","negLog10P","significance"
"PTPN11",-0.000361047493806055,0.995624296064899,0.00190451391341265,"NS"
"PWWP2B",0.00036216549046042,0.994595623849234,0.00235345596475364,"NS"
"STARD3NL",0.000368643258738421,0.995958392638927,0.00175880437224514,"NS"
"FNDC5",-0.00037409519470355,0.992609777403702,0.00322145123061373,"NS"
"NBPF16",-0.000389121533734382,0.99543519310715,0.00198700905909346,"NS"
"DUOXA1",0.000391139353258296,0.99436763359845,0.00245302030603187,"NS"
"COL7A1",0.000398477559756749,0.979859845698921,0.00883603919782329,"NS"
"ADRA1D",-0.000403828251345884,0.997247923753131,0.00119685920814247,"NS"
"GPSM1",0.000411492141585645,0.996459154579581,0.0015404985733869,"NS"
"SLMO1",0.000413383279563195,0.983985467111671,0.00701131579611405,"NS"
"TTL",0.00042379767092382,0.996525451497141,0.00151160483744286,"NS"
"HIST1H2BN",0.000436587817962852,0.989536851283367,0.00456802762129799,"NS"
"LPCAT1",0.000442899465206814,0.98840125232957,0.00506671300743564,"NS"
"HNRNPA2B1",-0.000448800679429429,0.990543478284953,0.00412645706150062,"NS"
"GPX7",-0.000450291859660501,0.996674658147662,0.0014465841455493,"NS"
"PPP1R12C",0.000450438001387443,0.988841265075624,0.00487341844791581,"NS"
"KIR2DS2",0.000451430442369727,0.994500108389399,0.00239516520629727,"NS"
"FGL2",-0.000455268054161628,0.997861336364803,0.000929804439665302,"NS"
"RBFOX2",0.000456883977696165,0.992010016821711,0.00348394253490191,"NS"
"LILRB3",-0.00046192161162395,0.991881214378171,0.00354033493150515,"NS"
"HSD3B7",-0.00046288760247748,0.992829482405931,0.0031253347969,"NS"
"PABPC1L2B",0.00046491420177297,0.996638569730736,0.00146230972255792,"NS"
"C10orf125",-0.000470189101942298,0.994207566178551,0.00252293609031022,"NS"
"DCAF8",0.000472246251675301,0.992054543622244,0.00346444947589896,"NS"
"RBM34",0.000500279123442748,0.99366456495348,0.00276019726811654,"NS"
"RRAS",0.000508718739489211,0.996885398744981,0.00135476501168096,"NS"
"NTNG2",0.000515346564228247,0.994648134589663,0.0023305275280374,"NS"
"CLTC",-0.000518498504222809,0.987780072051533,0.00533973975106039,"NS"
"SYNJ2",-0.000521108003528559,0.991963040918241,0.00350450871707235,"NS"
"HIC2",-0.000527043603384403,0.988035924505023,0.00522726438944094,"NS"
"DPH1",-0.000531472814861988,0.995164719098848,0.00210502912862762,"NS"
"CTNND1",-0.000531482421571194,0.976992905132541,0.0101085900918466,"NS"
"MOCS1",0.000538751635289936,0.997243738914959,0.00119868167966218,"NS"
"YBX2",-0.000542355748019308,0.985187750761203,0.00648099655876497,"NS"
"WIBG",0.000544491440047867,0.994012058422213,0.00260834711731163,"NS"
"WLS",-0.000547601663985819,0.99608842188945,0.00170210792750641,"NS"
"C11orf58",0.000556125376910632,0.988519223207697,0.005014880774333,"NS"
"SLC18A3",0.000560095853331832,0.996724431138659,0.00142489643087293,"NS"
"LOC100499221",0.000560244375791497,0.982853219457049,0.00751133541259489,"NS"
"RNASE11",0.00056125174999555,0.994537856763193,0.00237868094533433,"NS"
"CLPTM1",-0.000567840825001831,0.992388347182031,0.00331834394059286,"NS"
"UNC45B",0.000573965776121121,0.995980180621163,0.00174930367720952,"NS"
"ADRM1",0.000575686322235924,0.996089702372201,0.00170154963747602,"NS"
"CSPG4P5",0.00058821235929396,0.997748336394942,0.000978987668318082,"NS"
"FAM73A",-0.000608328960783444,0.996164062440472,0.00166912990469973,"NS"
"GMFG",0.00061512470683911,0.995275723455874,0.00205658901583336,"NS"
"IRX4",0.000616817692480343,0.992845975935679,0.00311812007414504,"NS"
"ND6",-0.00062116129873635,0.959229044487014,0.0180776797116781,"NS"
"SLC16A8",-0.000622204321352404,0.978318458617685,0.00951975225974551,"NS"
"RPAP2",-0.000622621966578585,0.994612690456226,0.00234600382091534,"NS"
"PRAMEF20",0.000633147986659477,0.997194045870348,0.00122032328235611,"NS"
"MYST3",0.000635213310163252,0.975069769667968,0.0109643078935448,"NS"
"SAFB2",-0.00064178661194747,0.991988898983787,0.00349318786301944,"NS"
