"gene","log2FC","negLog10P","significance"
"EDEM2",0.000261274139643497,0.00411236625468646,"NS"
"DDIT3",-0.000264695883703148,0.00601828265020324,"NS"
"SCGB1C1",0.000264969706226914,0.00688851252277701,"NS"
"PPAPDC2",-0.000265632915304792,0.00291128382164274,"NS"
"P2RX5",0.000266576322413226,0.00287538767470325,"NS"
"NGF",0.000268442319590889,0.00759451502593272,"NS"
"TNK1",-0.000269113149361733,0.0050876321346792,"NS"
"CROCC",-0.000269416353042118,0.00593118238868055,"NS"
"PROCA1",0.000270045872541091,0.00658050110902922,"NS"
"KIAA1644",0.000271236275909192,0.00345592114143335,"NS"
"TUBA8",0.00027406013688025,0.00433027766416438,"NS"
"ZNF223",-0.000288892086569348,0.00370682950763539,"NS"
"TMEM179",0.000288972786767205,0.00731532390066547,"NS"
"ZFP91-CNTF",0.000293053946278432,0.00691230637182695,"NS"
"ARAP1",-0.000293314475629636,0.00593495138908032,"NS"
"SRPK3",-0.000293697551913663,0.00903518703378924,"NS"
"STAT6",-0.000296324207067933,0.00542324332518118,"NS"
"VWA5B1",0.000298246018284543,0.00443768934863778,"NS"
"C8orf86",0.000303567663839432,0.00468211155207892,"NS"
"MDM2",-0.000303996585576449,0.00590105923860215,"NS"
"TCHP",-0.000305978128523066,0.00818967654276251,"NS"
"WTIP",0.000307795729715288,0.00875377707979235,"NS"
"KIAA0232",0.000310293504735437,0.00591814970322283,"NS"
"ZNF716",-0.000314077025535209,0.00253620296447061,"NS"
"FLJ11235",0.000315328624791,0.00704064586213925,"NS"
"RAB40B",0.000316001028968893,0.00641286997629744,"NS"
"GREM2",0.000317707394117184,0.00447567876031189,"NS"
"TMED1",-0.000318337644947597,0.00538322868061693,"NS"
"GLRX5",-0.000318387363864137,0.00699629926706078,"NS"
"CMTM2",0.00031918959177446,0.00719421002530284,"NS"
"OR2V2",0.000321082483274004,0.00465940649101683,"NS"
"MAGEB6",0.000323028041860018,0.00429897851132263,"NS"
"GLUD1",-0.000326259349754832,0.00573559763734503,"NS"
"PXMP2",0.00032733034228416,0.0091423597372583,"NS"
"NFU1",0.000327396731934826,0.00724409142953796,"NS"
"LOC646976",0.000327797101136174,0.00577723161755129,"NS"
"PLLP",-0.000339845624781621,0.0082957332088899,"NS"
"C17orf42",0.000340399334018304,0.00279167427133199,"NS"
"KCNK7",0.000343622419301859,0.00913586190828642,"NS"
"CSDC2",0.000344384652085417,0.00996293225262407,"NS"
"UBE2M",-0.000346140701302344,0.00528918055927711,"NS"
"C20orf30",0.000346312826101869,0.00477452027000396,"NS"
"HFE2",-0.000349064863023552,0.00573678910320964,"NS"
