name,logFC,DE_class
RPL13AP5,7.632569549422819e-4,NS
STK10,-7.659556821484337e-4,NS
APOA5,-7.682982745891298e-4,NS
SRSF11,-7.735397832724367e-4,NS
CDK10,-7.769605611931407e-4,NS
C4A,7.904442632566955e-4,NS
SNRPB,-7.997868113174267e-4,NS
SH3BP2,-8.027582572238678e-4,NS
SMARCA4,8.071743539348475e-4,NS
TRIM15,8.073257004794776e-4,NS
CLDN10,-8.158678319040158e-4,NS
TBC1D26,-8.228169201374147e-4,NS
MORF4,8.353341016149596e-4,NS
POU6F2,-8.392930170764146e-4,NS
NRAP,-8.397779562976382e-4,NS
NFIC,8.439391333516788e-4,NS
PHACTR3,8.492160967810136e-4,NS
ZNF675,-8.505800866083213e-4,NS
CHST13,-8.658718823457701e-4,NS
E2F7,8.752580668016652e-4,NS
C12orf57,8.764724794732004e-4,NS
KCNQ2,8.772091680555594e-4,NS
CTNNBIP1,8.790681177015536e-4,NS
EGR1,-8.855400876939257e-4,NS
SRSF2IP,8.883919936364393e-4,NS
NSMAF,8.897786465404955e-4,NS
ENY2,9.056184775704246e-4,NS
MYST1,-9.132056562657365e-4,NS
P2RX7,9.13543375354875e-4,NS
SYNE2,9.160099410800981e-4,NS
TMBIM6,9.177163341296257e-4,NS
TIMM50,9.18079258451332e-4,NS
OSBPL9,-9.182612871523332e-4,NS
IMMT,-9.18797292816631e-4,NS
EIF3D,-9.216003489909141e-4,NS
TFRC,9.227217227418816e-4,NS
ADD1,-9.267070734364502e-4,NS
TRPV3,-9.382599574385697e-4,NS
KLHL33,-9.38729517560688e-4,NS
SFRS15,-9.447439875769348e-4,NS
SHANK1,-9.456860801508871e-4,NS
B3GAT1,-9.477077265620526e-4,NS
ZNF296,-9.508601765140234e-4,NS
TUBB4,-9.525706168194148e-4,NS
APOC3,9.572606305126019e-4,NS
GTPBP1,-9.601845273214948e-4,NS
NBPF9,9.62065023384806e-4,NS
FHL5,-9.678478282291181e-4,NS
C14orf149,9.7550069953245e-4,NS
EFR3B,-9.797558045190335e-4,NS
KLHL20,9.811994098567478e-4,NS
BZRAP1,9.89857234067415e-4,NS
SOS2,-9.913470720728235e-4,NS
TRIM25,-9.950951811741326e-4,NS
FAM69A,0.0010006884122855109,NS
LOC728407,0.0010113115705299158,NS
LAP3,0.0010118850808562563,NS
B9D2,-0.0010172028222674712,NS
FBXL18,-0.0010204569985414746,NS
HTR5A,0.0010251838158459314,NS
TTLL6,-0.0010260791853922147,NS
CILP2,0.0010287102714439111,NS
TRIM44,-0.0010322930259518692,NS
RGR,-0.0010367594917162215,NS
RBM4B,0.0010462624368776652,NS
PEX10,0.0010673102300287063,NS
DGAT2L6,0.0010715533510504693,NS
CEBPB,-0.0010770812314193634,NS
DNAJC30,-0.0010785382570404067,NS
GADD45GIP1,0.001078869299431684,NS
CCDC21,-0.0010854529088768494,NS
RPS26,0.001085835454374795,NS
SAR1A,-0.0010879059987867201,NS
FLJ25328,0.0010890017636240312,NS
TREML4,-0.0010914524046252705,NS
EVC2,-0.0010931637216904377,NS
LOC646513,-0.0010951525872908707,NS
METTL3,-0.001097102256157001,NS
EFCAB4B,-0.001098898937371473,NS
ADAMTS14,-0.0011032074313399587,NS
PLCD1,0.0011037044866055723,NS
NUDT11,-0.0011062615807941878,NS
TLL1,0.0011199856107555473,NS
SNORD21,0.0011200124136032663,NS
PADI2,-0.0011343586305854192,NS
CHERP,0.0011443591751998383,NS
CSPP1,0.0011509367747573052,NS
NFE2L2,-0.0011542421918395718,NS
PRPF40B,0.0011552552575255781,NS
NCCRP1,-0.0011597305298800542,NS
FAM127B,-0.0011629921584419556,NS
ZNF212,-0.0011675309165624093,NS
AHSA1,-0.0011677171913113682,NS
LAMP2,0.0011719029713712636,NS
DOK7,0.0011735612012762076,NS
WDR48,-0.0011811038507849592,NS
MSH5,-0.0011825314173377066,NS
CLIC1,-0.0011836911630171976,NS
ANXA7,0.0011860124862579369,NS
UBE2V2,-0.0011957083987041983,NS
TMEM182,0.0011975165675214283,NS
FGL1,0.0012000846055478243,NS
NDUFV2,-0.0012062014906386587,NS
TBX3,0.001207142053857968,NS
DRG1,-0.0012103158430210037,NS
RFPL4B,-0.0012160161710346173,NS
TMEM49,0.0012166291336042079,NS
SDS,0.0012203156092682743,NS
FLJ11235,0.0012240115015689224,NS
CELA3B,-0.0012268177680208048,NS
RSPH1,0.0012326519897807309,NS
CARHSP1,-0.001242078119956247,NS
UBE2D4,0.0012450078392687303,NS
ARRB1,-0.0012509578152903877,NS
RGPD5,0.0012629525450087442,NS
ZNF708,-0.001265421708900094,NS
LYG2,-0.001268691167849445,NS
C16orf89,0.0012716908268275429,NS
C20orf111,0.001274826520093475,NS
ALPP,0.0012937025980250816,NS
C1orf56,0.001298635292653838,NS
LIN7C,-0.0013050307606170541,NS
CCT3,-0.0013100140391220094,NS
SETBP1,-0.0013170307512244683,NS
EXOSC6,-0.0013201455578597532,NS
LOC100129534,0.001327472220717496,NS
NKX2-8,-0.0013393388552405128,NS
SDC1,0.00134681096149869,NS
ATP1A2,-0.0013477679203233173,NS
VCPIP1,0.001349676816571721,NS
LINGO3,0.0013517438309622598,NS
PNLIP,-0.0013644942862581777,NS
PDZD8,0.001368919294211235,NS
SCAMP5,-0.001376815838201706,NS
ENO4,0.0013782727504600967,NS
ADAM15,0.0013788373344352234,NS
NOP2,-0.0013861655071989443,NS
DCAF12L1,0.0013925389542794875,NS
SMARCD2,0.0014022490931293596,NS
EMID2,-0.0014030799511433045,NS
MAPKAPK5,0.0014032729169448643,NS
NOVA2,0.0014194022290605623,NS
ZNF324B,0.0014252991241958668,NS
PPP1R14D,0.0014266372319022835,NS
CSDA,0.0014274918490189137,NS
ZNF641,-0.001429729330620022,NS
GABRB2,0.0014439167391966379,NS
CENPP,-0.0014485822627716693,NS
MFSD7,-0.0014526962869947369,NS
MRGPRF,0.001453119604782005,NS
HNRNPA3,-0.001456249113279906,NS
